Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
"COLLINGWOOD, DAVID",NA,NA,NA,NA,NA
"STANTON, JOHN",1793,26,19,31,25
"GODA, BRYAN",NA,NA,NA,NA,NA
"GORDON, SHARONA",NA,NA,NA,NA,NA
"LEVEQUE, RANDALL",24964,55,31,103,69
"LI, JIANGYU",7895,44,35,137,110
"LIEBER, ANDRE",NA,NA,NA,NA,NA
"SWANSON, PHILLIP",NA,NA,NA,NA,NA
"MARCENKO, MAUREEN",NA,NA,NA,NA,NA
"SHAPIRO, MICHAEL",NA,NA,NA,NA,NA
"ANDERSON, HELEN",NA,NA,NA,NA,NA
"EMERY, ASHLEY",NA,NA,NA,NA,NA
"KRAMER, STEVEN",NA,NA,NA,NA,NA
"JAY, STEWART",13642,56,38,182,153
"CAMPBELL, LEE",NA,NA,NA,NA,NA
"HINDS, BRUCE",NA,NA,NA,NA,NA
"DURRAN, DALE",8615,48,29,87,60
"FINK, PAMELA",NA,NA,NA,NA,NA
"GUSTAFSON, RICHARD",NA,NA,NA,NA,NA
"BRETHERTON, CHRISTOPHER",24594,74,52,169,137
"BOERSMA, P",NA,NA,NA,NA,NA
"POPOVIC, ZORAN",13366,48,42,86,81
"MILLER, GREGORY",1133,20,8,27,8
"SCHLOSSER, ANN",NA,NA,NA,NA,NA
"SYNOVEC, ROBERT",NA,NA,NA,NA,NA
"WORDEMAN, LINDA",NA,NA,NA,NA,NA
"BOSTROM, ANN",7076,33,27,55,45
"GREMBOWSKI, DAVID",4530,34,20,79,40
"KORSHIN, GREGORY",4645,38,29,84,71
"PRATT, WANDA",5580,38,28,79,61
"BERG, JOHN",NA,NA,NA,NA,NA
"DOUGHERTY, CYNTHIA",NA,NA,NA,NA,NA
"THORNTON, JUDITH",NA,NA,NA,NA,NA
"MOODY, WILLIAM",NA,NA,NA,NA,NA
"GALLAGHER, EVAN",NA,NA,NA,NA,NA
"HILL, KRISTI",NA,NA,NA,NA,NA
"HU, SHIU-LOK",NA,NA,NA,NA,NA
"MONTGOMERY, DAVID",NA,NA,NA,NA,NA
"STUVE, ERIC",2868,29,13,48,18
"VEDAL, SVERRE",NA,NA,NA,NA,NA
"TUTTLE, MARK",NA,NA,NA,NA,NA
"MC COY, ANNE",NA,NA,NA,NA,NA
"ROSENFELD, MICHAEL",NA,NA,NA,NA,NA
"SUNG, KELVIN",904,17,10,25,13
"MACCOSS, MICHAEL",18188,64,51,145,133
"MANOIL, COLIN",NA,NA,NA,NA,NA
"NELSON, BRUCE",NA,NA,NA,NA,NA
"WHITNEY, JOANNE",NA,NA,NA,NA,NA
"YAFFE, LAURENCE",14527,51,32,94,47
"XU, WENQING",NA,NA,NA,NA,NA
"ROSE, GREGORY",4964,34,25,55,41
"GEORGE, WILLIAM",6987,44,32,109,82
"KAVANAGH, TERRANCE",NA,NA,NA,NA,NA
"JAFFE, DANIEL",11386,57,40,138,108
"MITCHELL, PAMELA",16280,49,34,111,75
"STIBER, MICHAEL",732,17,5,22,1
"LONDON, TODD",NA,NA,NA,NA,NA
"MORRIS, WANDA",NA,NA,NA,NA,NA
"STEIG, ERIC",12738,53,39,129,102
"ZIERLER, BRENDA",NA,NA,NA,NA,NA
"LADIGES, WARREN",NA,NA,NA,NA,NA
"LEROUX, BRIAN",NA,NA,NA,NA,NA
"PARSEK, MATTHEW",NA,NA,NA,NA,NA
"RUZZO, WALTER",15195,47,29,76,48
"ROSENBERG, LESLIE",NA,NA,NA,NA,NA
"HOFFMAN, CHRISTOPHER",870,16,13,24,14
"VAUGHN, LEA",NA,NA,NA,NA,NA
